"Drug","phylogroup","clustersize","lastresistantparent"
"Cefuroxime","A",1,"13"
"Cefuroxime","A",2,"130"
"Cefuroxime","A",2,"136"
"Cefuroxime","A",4,"178"
"Cefuroxime","A",1,"32"
"Cefuroxime","A",1,"35"
"Cefuroxime","A",1,"68"
"Cefuroxime","A",1,"8"
"Cefuroxime","A",1,"87"
"Cefuroxime","A",1,"88"
"Cefuroxime","A",2,"96"
"Cefuroxime","B1",1,"13"
"Cefuroxime","B1",1,"2"
"Cefuroxime","B1",1,"24"
"Cefuroxime","B1",1,"30"
"Cefuroxime","B1",1,"38"
"Cefuroxime","B2",1,"108"
"Cefuroxime","B2",52,"1165"
"Cefuroxime","B2",1,"119"
"Cefuroxime","B2",1,"189"
"Cefuroxime","B2",1,"191"
"Cefuroxime","B2",1,"192"
"Cefuroxime","B2",1,"21"
"Cefuroxime","B2",1,"214"
"Cefuroxime","B2",1,"245"
"Cefuroxime","B2",1,"258"
"Cefuroxime","B2",1,"277"
"Cefuroxime","B2",1,"278"
"Cefuroxime","B2",1,"286"
"Cefuroxime","B2",1,"287"
"Cefuroxime","B2",1,"302"
"Cefuroxime","B2",1,"313"
"Cefuroxime","B2",1,"321"
"Cefuroxime","B2",1,"322"
"Cefuroxime","B2",1,"333"
"Cefuroxime","B2",1,"338"
"Cefuroxime","B2",1,"347"
"Cefuroxime","B2",1,"356"
"Cefuroxime","B2",1,"363"
"Cefuroxime","B2",1,"367"
"Cefuroxime","B2",1,"378"
"Cefuroxime","B2",1,"401"
"Cefuroxime","B2",1,"42"
"Cefuroxime","B2",1,"487"
"Cefuroxime","B2",1,"492"
"Cefuroxime","B2",1,"514"
"Cefuroxime","B2",1,"572"
"Cefuroxime","B2",1,"575"
"Cefuroxime","B2",1,"577"
"Cefuroxime","B2",1,"602"
"Cefuroxime","B2",1,"607"
"Cefuroxime","B2",1,"620"
"Cefuroxime","B2",1,"622"
"Cefuroxime","B2",1,"631"
"Cefuroxime","B2",1,"643"
"Cefuroxime","B2",1,"648"
"Cefuroxime","B2",1,"663"
"Cefuroxime","B2",3,"928"
"Cefuroxime","B2",1,"97"
"Cefuroxime","D",1,"109"
"Cefuroxime","D",1,"114"
"Cefuroxime","D",1,"125"
"Cefuroxime","D",1,"140"
"Cefuroxime","D",1,"143"
"Cefuroxime","D",1,"145"
"Cefuroxime","D",1,"150"
"Cefuroxime","D",1,"153"
"Cefuroxime","D",1,"158"
"Cefuroxime","D",1,"162"
"Cefuroxime","D",1,"174"
"Cefuroxime","D",1,"180"
"Cefuroxime","D",2,"238"
"Cefuroxime","D",7,"350"
"Cefuroxime","D",1,"42"
"Cefuroxime","D",1,"45"
"Cefuroxime","D",1,"51"
"Cefuroxime","D",1,"70"
"Cefuroxime","D",1,"94"
"Cefuroxime","D",1,"98"
"Gentamicin","A",3,"129"
"Gentamicin","A",4,"178"
"Gentamicin","A",1,"35"
"Gentamicin","A",1,"48"
"Gentamicin","A",1,"53"
"Gentamicin","A",1,"88"
"Gentamicin","A",1,"92"
"Gentamicin","B1",1,"21"
"Gentamicin","B1",1,"27"
"Gentamicin","B1",1,"31"
"Gentamicin","B2",2,"1223"
"Gentamicin","B2",6,"1232"
"Gentamicin","B2",3,"1248"
"Gentamicin","B2",3,"1292"
"Gentamicin","B2",1,"138"
"Gentamicin","B2",1,"139"
"Gentamicin","B2",1,"172"
"Gentamicin","B2",1,"409"
"Gentamicin","B2",1,"444"
"Gentamicin","B2",1,"496"
"Gentamicin","B2",1,"498"
"Gentamicin","B2",1,"501"
"Gentamicin","B2",1,"519"
"Gentamicin","B2",1,"534"
"Gentamicin","B2",1,"536"
"Gentamicin","B2",1,"537"
"Gentamicin","B2",1,"541"
"Gentamicin","B2",1,"547"
"Gentamicin","B2",1,"550"
"Gentamicin","B2",1,"572"
"Gentamicin","B2",1,"581"
"Gentamicin","B2",1,"601"
"Gentamicin","B2",1,"602"
"Gentamicin","B2",1,"628"
"Gentamicin","D",1,"113"
"Gentamicin","D",1,"142"
"Gentamicin","D",1,"145"
"Gentamicin","D",1,"168"
"Gentamicin","D",1,"170"
"Gentamicin","D",1,"171"
"Gentamicin","D",1,"174"
"Gentamicin","D",2,"318"
"Gentamicin","D",1,"35"
"Gentamicin","D",1,"41"
"Gentamicin","D",1,"45"
"Gentamicin","D",1,"74"
"Gentamicin","D",1,"96"
"AmoxiClav","A",1,"1"
"AmoxiClav","A",3,"123"
"AmoxiClav","A",3,"129"
"AmoxiClav","A",2,"136"
"AmoxiClav","A",1,"16"
"AmoxiClav","A",2,"163"
"AmoxiClav","A",5,"178"
"AmoxiClav","A",2,"184"
"AmoxiClav","A",1,"19"
"AmoxiClav","A",1,"29"
"AmoxiClav","A",1,"35"
"AmoxiClav","A",1,"39"
"AmoxiClav","A",1,"56"
"AmoxiClav","A",1,"68"
"AmoxiClav","A",1,"70"
"AmoxiClav","A",1,"76"
"AmoxiClav","A",1,"78"
"AmoxiClav","A",1,"8"
"AmoxiClav","A",1,"85"
"AmoxiClav","A",1,"92"
"AmoxiClav","B1",1,"13"
"AmoxiClav","B1",1,"17"
"AmoxiClav","B1",1,"2"
"AmoxiClav","B1",1,"24"
"AmoxiClav","B1",1,"27"
"AmoxiClav","B1",1,"38"
"AmoxiClav","B1",1,"5"
"AmoxiClav","B1",1,"8"
"AmoxiClav","B2",3,"1014"
"AmoxiClav","B2",1,"108"
"AmoxiClav","B2",3,"1104"
"AmoxiClav","B2",1,"112"
"AmoxiClav","B2",1,"116"
"AmoxiClav","B2",60,"1160"
"AmoxiClav","B2",1,"120"
"AmoxiClav","B2",2,"1246"
"AmoxiClav","B2",1,"13"
"AmoxiClav","B2",1,"136"
"AmoxiClav","B2",1,"139"
"AmoxiClav","B2",1,"152"
"AmoxiClav","B2",1,"210"
"AmoxiClav","B2",1,"214"
"AmoxiClav","B2",1,"245"
"AmoxiClav","B2",1,"258"
"AmoxiClav","B2",1,"264"
"AmoxiClav","B2",1,"267"
"AmoxiClav","B2",1,"276"
"AmoxiClav","B2",1,"277"
"AmoxiClav","B2",1,"286"
"AmoxiClav","B2",1,"288"
"AmoxiClav","B2",1,"29"
"AmoxiClav","B2",1,"290"
"AmoxiClav","B2",1,"302"
"AmoxiClav","B2",1,"318"
"AmoxiClav","B2",1,"321"
"AmoxiClav","B2",1,"324"
"AmoxiClav","B2",1,"326"
"AmoxiClav","B2",1,"336"
"AmoxiClav","B2",1,"337"
"AmoxiClav","B2",1,"342"
"AmoxiClav","B2",1,"346"
"AmoxiClav","B2",1,"347"
"AmoxiClav","B2",1,"362"
"AmoxiClav","B2",1,"363"
"AmoxiClav","B2",1,"380"
"AmoxiClav","B2",1,"395"
"AmoxiClav","B2",1,"401"
"AmoxiClav","B2",1,"406"
"AmoxiClav","B2",1,"414"
"AmoxiClav","B2",1,"424"
"AmoxiClav","B2",1,"434"
"AmoxiClav","B2",1,"436"
"AmoxiClav","B2",1,"443"
"AmoxiClav","B2",1,"444"
"AmoxiClav","B2",1,"450"
"AmoxiClav","B2",1,"474"
"AmoxiClav","B2",1,"478"
"AmoxiClav","B2",1,"480"
"AmoxiClav","B2",1,"485"
"AmoxiClav","B2",1,"486"
"AmoxiClav","B2",1,"496"
"AmoxiClav","B2",1,"514"
"AmoxiClav","B2",1,"52"
"AmoxiClav","B2",1,"531"
"AmoxiClav","B2",1,"549"
"AmoxiClav","B2",1,"577"
"AmoxiClav","B2",1,"58"
"AmoxiClav","B2",1,"599"
"AmoxiClav","B2",1,"604"
"AmoxiClav","B2",1,"610"
"AmoxiClav","B2",1,"611"
"AmoxiClav","B2",1,"62"
"AmoxiClav","B2",1,"620"
"AmoxiClav","B2",1,"628"
"AmoxiClav","B2",1,"635"
"AmoxiClav","B2",1,"638"
"AmoxiClav","B2",1,"648"
"AmoxiClav","B2",1,"658"
"AmoxiClav","B2",1,"71"
"AmoxiClav","B2",4,"802"
"AmoxiClav","B2",3,"806"
"AmoxiClav","B2",3,"827"
"AmoxiClav","B2",5,"829"
"AmoxiClav","B2",8,"837"
"AmoxiClav","B2",8,"857"
"AmoxiClav","B2",3,"962"
"AmoxiClav","B2",2,"973"
"AmoxiClav","B2",2,"984"
"AmoxiClav","D",1,"100"
"AmoxiClav","D",1,"101"
"AmoxiClav","D",1,"106"
"AmoxiClav","D",1,"111"
"AmoxiClav","D",1,"131"
"AmoxiClav","D",1,"134"
"AmoxiClav","D",1,"158"
"AmoxiClav","D",1,"175"
"AmoxiClav","D",1,"177"
"AmoxiClav","D",2,"195"
"AmoxiClav","D",1,"21"
"AmoxiClav","D",6,"231"
"AmoxiClav","D",1,"24"
"AmoxiClav","D",1,"27"
"AmoxiClav","D",3,"273"
